brand,model,version,price,kilometraje,cylinder,city,region,year,fuel_type,transmission,doors,plate,description,only_owner,never_bumped,checked_maintenance,state
AUDI,A3,"1,2 LTS. TFSI HATCHBACK 5P",750000,145000,1.2,Rancagua,6,2012,gasolina,automatico,3,XXXC01,"VEHICULO EN EXCELENTE ESTADO, 1.2 TURBO, CAJA SPORT AUTOMATICO, BT, MODELO FULL EQUIPO, AIRE ACONDICIONADO, CONTROL AL VOLANTE, 1.4 BENCINERO ECONOMICO.",,,,1
HYUNDAI,ACCENT,,10490000,23100,,Cerrillos,13,2022,,,,RZCY62,,,,,1
LEXUS,NX,"200T 2,0 LTS. DOHC STATION WAGON 5P. 4X4 T/A MOTOR OTTO",19480000,134000,2.0,Vitacura,13,2017,gasolina,automatico,5,JCPW71,"Vehículo en impecable estado, full equipo, automatico, bencina, versión NX200T SPORT 4X4 2.0 AUT, climatizador bizaona, cuero, 8 airbags, dirección hidráulica, sunroof, camara de retroceso, calefaccion en butacas, modos de conduccion.
134.000km

** Recibimos tu vehículo en parte de pago
** Financiamiento Automotriz
** Aceptamos pago con tarjetas",,,,1
HONDA,CR-V,,9900000,140000,,Las Condes,13,2014,,,,XCMN00,,,,,1
NISSAN,NAVARA,(D23) DC 2.3 HO AT 4X4,37990000,11000,2.3,Concepción,8,2024,diesel,automatico,4,TFZL37,"CAMIONETA CON IVA, CONTACTAME +569-57656704, MI NOMBRE ES LUIS ARAVENA",True,,,1
HYUNDAI,VELOSTER,"JS 2,0 LTS. HATCHBACK 4P. T/M OTTO",13890000,75000,2.0,Valparaíso,5,2019,gasolina,mecanico,4,KWLW55,"🏁Hyundai Veloster js plus 2019🏁
•75.000km
•Motor 2.0 Bencinero
•Transmisión mecánica 6 marchas
•Star/Stop Engine
•Dos Llaves
•Mandos Al Volante
•Cámara & Sensores de Retroceso
•Llantas 
•Modo Sport",,,,1
JEEP,COMPASS,,9190000,150000,,Santiago,13,2024,,,,GCKS37,,,,,1
KIA,RIO 4,"4 1,4 LTS. DOHC SEDÁN 4P. T/M MOTOR OTTO",8590000,50000,1.4,Cerrillos,13,2020,gasolina,mecanico,4,LXBF68,,True,True,True,1
TOYOTA,RAV4,2.0 4X2 MT,10590000,170000,2.0,Maipú,13,2018,gasolina,automatico,5,KRPB45,"Antes  11.290.000
Oferta 🎁10.590.000🎁 

✅Full equipo 
✅Aire acondicionado
✅Tres modos de conducción: económico / normal / sport.
✅Motor 2.0 cc 
✅Año 2018 
✅Automática 
✅Pantalla  touch 
✅Camara de retroceso 
✅170.000 kilometraje 

🚨🚨Financiamiento 🚨🚨",,True,,1
KIA,SOUL,,6490000,128339,,Machalí,6,2012,,,,DJCT45,,,,,1
BMW,X1,,22900000,47600,,La Serena,4,2021,,,,BBBB18,,,,,1
GREAT WALL,M4,,7990000,51711,,Machalí,6,2021,,,,PZWH16,,,,,1
JAC,S2,,6990000,75000,1.5,Maipú,13,2019,gasolina,mecanico,5,KXLV62,"$ 7.480.00
Oferta 🎁$6.990.000🎁

✅Año 2019 
✅Full equipo 
✅Motor 1.5
✅Radio con pantalla 
✅2 llaves originales 
✅porta equipaje 
✅Llantas 
✅car play 
✅75.000

🚨financiamiento🚨",,True,,1
BMW,320,"D 2,0 LTS DIÉSEL",39900000,16000,2.0,Vitacura,13,2023,diesel,automatico,4,TFSH92,,,,,1
RENAULT,FLUENCE,,5750000,51000,,Macul,13,2012,,,,RAAR58,,,,,1
CITROEN,C-ELYSÉE,,11590000,22100,,Cerrillos,13,2022,,,,RZVV51,,,,,1
SUZUKI,S-Cross,,7700000,57000,,San Miguel,13,2021,,,,PCCF73,,,,,1
CHERY,TIGGO 2,,8790000,47700,,Cerrillos,13,2022,,,,RSHC21,,,,,1
MITSUBISHI,L-200,,16900000,102000,,Chaitén,10,2021,,,,RRRR54,,,,,1
VOLKSWAGEN,TIGUAN,,16990000,62000,,Las Condes,13,2019,,,,LGDR32,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ APPLE CARPLAY

・ ANDROID AUTO

・ USB

・ SENSORES DE ESTACIONAMIENTO

・ CLIMATIZADOR BI ZONA

・ MODOS DE CONDUCCIÓN

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS ELECTRICOS CON DEFROSER",,,,1
MAZDA,MAZDA3,2.0 HB MT,11990000,61000,2.0,Las Condes,13,2019,gasolina,mecanico,5,KWDW47,"Apple CarPlay, Mecánicamente impecable, estéticamente también tiene toda su pintura original y por dentro está como nuevo, 6 airbag, caja sexta, cámara de retroceso, alzavidrios eléctricos, velocidad crucero, comando al volante, Bluetooth, sistema antiderrape asistente en pendiente, Aire acondicionado, freno de mano eléctrico, encendido por botón, dos copias de llave, isofix, apertura de puerta con sensor de proximidad, llantas, neblineros, luces led, lámina de seguridad y polarizado certificado, espejos eléctricos, detalles con fibra de carbono al interior, etc.
",,,,1
MAXUS,T60,,14990000,106000,,Osorno,10,2023,,,,SFJL81,,,,,1
PORSCHE,CAYENNE,,7450000,167000,,Macul,13,2003,,,,RAAR57,,,,,1
MAZDA,6,,6500000,126000,,Osorno,10,2009,,,,BZTC22,,,,,1
MAZDA,MAZDA2,,6800000,151700,,Colina,13,2015,,,,HJHY93,,,,,1
VOLKSWAGEN,VOYAGE,,6500000,96000,,Osorno,10,2019,,,,KTLX30,,,,,1
AUDI,Q5,,11390000,103000,,Santiago,13,2021,,,,CSGK59,,,,,1
NISSAN,NP300,,13900000,194000,,Osorno,10,2018,,,,KFLC63,,,,,1
CITROEN,C3,,5490000,96000,,Las Condes,13,2012,,,,DVBF78,"・ CONTROL CRUCERO

・ COMANDOS AL VOLANTE

・ RADIO BLUETOOTH

・ AIRE ACONDICIONADO

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ABATIBLES",,,,1
NISSAN,NP300,,17990000,147000,,Osorno,10,2018,,,,KGTX99,,,,,1
BMW,220,I COUPE,19990000,82000,,Las Condes,13,2018,gasolina,automatico,,XXXC19,"mecánicamente impecable, star stop, climatizador bizona, láminas de seguridad certificadas, encendido por botón, 4 modos de manejo (comfort, eco, sport y sport +), dos copias de llaves, tracción trasera, cama de retroceso y sensor de retroceso, comando volante, etc. …

",,,,1
MAXUS,T60,,13500000,31200,,Osorno,10,2019,,,,LFCK88,,,,,1
MAXUS,T60,,9380000,128131,,Lo Barnechea,13,2019,,,,KWSF19,,,,,1
KIA,SPORTAGE,,9900000,87000,,Osorno,10,2015,,,,GWRP74,,,,,1
VOLKSWAGEN,TIGUAN,,15100000,95541,2.0,Las Condes,13,2018,gasolina,automatico,5,KJLS99,"Volkswagen Tiguan 2.0 TSI DSG Highline 7A 4Motion 2018

Información General
- Segunda Dueña
- Mantenciones en la marca
- 95.541 kms
- 2 llaves originales
- Revisado por Ojo Mecánico

Motor y Rendimiento
- Motor: 2.0 TSI (turboalimentado) de 4 cilindros.
- Potencia: Aproximadamente 220 caballos de fuerza.
- Transmisión: DSG automática de 7 velocidades.
- Tracción: 4Motion.
- Aceleración: 0-100 km/h en aproximadamente 6.5-7 segundos.
- Velocidad máxima: 210-220 km/h.

Diseño Exterior
- Faros LED: Luces delanteras y traseras full LED con tecnología adaptativa.
- Techo panorámico: Corredizo 
  
Interior y Confort
- Capacidad: 7 asientos 
- Tapicería: Cuero de alta calidad 
- Climatizador: Climatronic de 3 zonas
- Pantalla multimedia: Pantalla táctil de 8 pulgadas con conectividad Apple CarPlay y Android Auto, además de un sistema de navegación integrado.
- Calefacción de asientos piloto y copiloto
- Espejos eléctricos.

Seguridad
- Asistentes de conducción: Incluye control de crucero adapt",,True,True,1
LEXUS,RX350,,23990000,71000,,Las Condes,13,2016,,,,HVGB86,,,,,1
PORSCHE,MACAN,,37490000,60000,,Las Condes,13,2018,,,,KPDR16,,,,,1
MITSUBISHI,L-200,,13690000,71012,,Puerto Montt,10,2020,,,,PGLY77,"MITSUBISHI L200 KATANA CRM 4X4- AÑO:2020
✅Diésel
✅71.012 km
✅Caja de cambios sexta
✅Aire acondicionado
✅Único Dueño
✅Full equipo
✅Excelentes Condiciones
💰Financiamiento
✅Pie Mínimo desde: $5.500.000.-
✅Valor vehículos: $13.690.000

Llamar o WhatsApp ©️
📲 +56 9 4414 5044 Orlando.
📲 +569 4997 4067 Catalina.
📲 +56 9 28604342 Felipe.",,,,1
TOYOTA,HILUX,,10490000,217510,,Puerto Montt,10,2012,,,,DVPW77,"TOYOTA HILUX 4X4- AÑO:2012
✅Diésel
✅217.510 km
✅Caja de cambios sexta
✅Aire acondicionado
✅Único Dueño
✅Full equipo
✅Excelentes Condiciones

✅Valor vehículos: $10.490.000

Llamar o WhatsApp ©️
📲 +56 9 4414 5044 Orlando.
📲 +569 4997 4067 Catalina.
📲 +56 9 28604342 Felipe.

Requisitos para creditos:
🚫No tener Dicom
💸Renta mayor a $650.000
📌Edad minima de 24 años para postular.
📌Antiguedad laboral minima de 1 año.

🏣Visítanos
📍Av. Ejército 36 Puerto Montt.",,,,1
SSANGYONG,NEW REXTON,,15550000,119000,,Macul,13,2018,,,,RAAR03,"Station Wagon
Año 2018
Diesel
Mecánica
Cámara retroceso
sensor retroceso
Radio con Pantalla
3 Corridas Asiento
Mantenciones al día
119.xxx KMS
Full equipo",,,,1
AUDI,A3,"1,2 LTS. TFSI HATCHBACK 5P",750000,145000,1.2,Rancagua,6,2012,gasolina,automatico,3,XXXC01,"VEHICULO EN EXCELENTE ESTADO, 1.2 TURBO, CAJA SPORT AUTOMATICO, BT, MODELO FULL EQUIPO, AIRE ACONDICIONADO, CONTROL AL VOLANTE, 1.4 BENCINERO ECONOMICO.",,,,1
HYUNDAI,ACCENT,,10490000,23100,,Cerrillos,13,2022,,,,RZCY62,,,,,1
BMW,X3,"3,0 IA DOHC STATION 5P. T/A",14590000,151913,3.0,Santiago,13,2015,gasolina,automatico,4,HHHX25,"Marca: BMW
Modelo: X3 XDRIVE 35i 
Motor: 3.0 
Transmisión: Automática
Año: 2015
Smart Key (2 Originales) 
Combustible: Gasolina  
Kilometraje: 151.913
Valor $ 14.590.000.-
Equipamiento: 
Sunruf Panorámico 
Paddle Shifters
Botón de encendido 
Butacas eléctricas
Tapiz Cuero 
Radio Original Multimedia XDRIVE
Cámara de Retroceso 
Sensores delanteros y Traseros  
Control al Volante
Velocidad Crucero 
Freno de mano eléctrico 
Sensor de lluvia 
Asistencia de frenado en Pendiente
Climatizador 
Cierre Centralizado 
Alarma 
Espejos eléctricos abatibles 
Luces Led
Llantas de aleación 
Air Bag Fontales y laterales 

Documentos al día Permiso de circulación pagado el Total 
        Sin Partes ni Multas llegar y Transferir 

                Gestionamos Financiamientos 
             ¡Evaluación, Fácil, Rápida y Segura!",,True,True,1
CHEVROLET,CAPTIVA,,12690000,118342,,Machalí,6,2019,,,,LLSB43,,,,,1
NISSAN,NAVARA,(D23) DC 2.3 HO AT 4X4,37990000,11000,2.3,Concepción,8,2024,diesel,automatico,4,TFZL37,"CAMIONETA CON IVA, CONTACTAME +569-57656704, MI NOMBRE ES LUIS ARAVENA",True,,,1
VOLKSWAGEN,T-CROSS,,13700000,75000,,Vitacura,13,2020,,,,LVBH18," La Volkswagen T-Cross 1.6 Confortline Automática ofrece comodidad y estilo en un paquete versátil. Incluye pantalla táctil de 8"", sistema de infoentretenimiento con App-Connect, volante multifunción forrado en cuero, sensores de estacionamiento delanteros y traseros, luces LED con luz diurna integrada, control de velocidad crucero, climatizador automático, y llantas de aleación. Además, cuenta con asientos traseros deslizables y abatibles para mayor espacio de carga. Un SUV urbano ideal para la vida diaria.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",,,,1
MG,3,,7990000,24000,,Las Condes,13,2020,gasolina,automatico,4,PGTS33,"Vehículo con todas las Mantenciones en la marca, Pantalla Touch Android (puedes bajar muchas app desde Play Store), impecable mecánicamente y estéticamente, Automático pero también con opción de manual, buen rendimiento, usb, Aire acondicionado, alzavidrios eléctricos, sensor de retroceso, sistema seguridad isofix, doble Airbag, dos copias de llave con corta corriente, cierre centralizado, lámina de seguridad con polarizado certificado, llantas, naumaticos en excelente estado, etc. ",,True,True,1
CHEVROLET,CAPTIVA,,11990000,116100,,Cerrillos,13,2018,,,,KBDH84,,,,,1
KIA,RIO 4,,7780000,117000,,Macul,13,2017,,,,RAAR51,,,,,1
MINI,F56,,12900000,94183,1.5,Las Condes,13,2015,gasolina,automatico,3,GXSY84,"MINI F56 Cooper Pepper 1.5 AT 2015

### Importante
- Segunda Dueña
- 94.183 Kms
- 1 Llave original
- Mantenciones al día

### Motor y Rendimiento
- Motor: Equipado con un motor de 1.5 litros, 3 cilindros turboalimentado.
- Potencia:136 caballos de fuerza.
- Transmisión: Automática (AT) de 6 velocidades.

### Interior
- Materiales de alta calidad: Acabados en cuero y detalles cromados.
- Sistema de infoentretenimiento: Pantalla central con sistema de navegación, conectividad Bluetooth y sistema de sonido de alta calidad.
- Confort: Asientos delanteros deportivos y cómodos, con ajuste manual.
- SunRoof

### Seguridad y Tecnología
- Sistemas de seguridad: Incluye frenos ABS, control de estabilidad (ESP), múltiples airbags y sensores de estacionamiento.
- Asistencias al conductor: Cuenta con control de crucero y sensores de lluvia.
- Espejos eléctricos

### Conducción
- Modos de conducción: Incluye diferentes modos de conducción para adaptarse a distintas condiciones y preferencias del con",,True,,1
KIA,OPTIMA,,8000000,161000,,Vitacura,13,2012,,,,DKTJ33,"La KIA MOTORS OPTIMA 2.4 AUT. ofrece un motor eficiente y una transmisión automática suave, brindando una conducción placentera. Su interior es elegante y espacioso, con asientos de cuero, climatizador automático y un sistema de infoentretenimiento con pantalla táctil. Además, cuenta con conectividad Bluetooth, cámara de reversa y un sistema de audio de alta calidad. En términos de seguridad, incluye frenos ABS, control de estabilidad y múltiples airbags para mayor protección.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. ",,,,1
SSANGYONG,REXTON,,15490000,125000,2.2,Valparaíso,5,2019,diesel,automatico,4,LCDW11,"•Motor 2.2 Turbo Diésel 
•Transmisión Automática 
•4x2 
•Mandos Al Volante
•Velocidad Crucero
•Freno de Mano eléctrico 
•Climatizador Bi-zona
•Espejos Eléctricos Abatibles
•Apple Car Play & Android Auto
•3 Corridas de Asientos
•Llantas 
•Frenos de disco 4 Ruedas
•Neblineros
•Mantenciones al día ",,,,1
HONDA,WR-V,,9990000,69000,,Las Condes,13,2018,,,,JYKD19,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ USB

・ AUX

・ CÁMARA TRASERA

・ AIRE ACONDICIONADO

・ ESPEJOS RETROVISORES ELÉCTRICOS

・ ALZAVIDRIOS ELÉCTRICOS",,,,1
VOLKSWAGEN,TIGUAN,,20290000,61000,,Cerrillos,13,2022,,,,RKPT92,,,,,1
CHEVROLET,CAPTIVA,,14990000,62500,,Cerrillos,13,2022,,,,RSGJ25,,,,,1
CHERY,FULWIN 2,,4990000,55400,,Cerrillos,13,2017,,,,JJTB71,,,,,1
BMW,520,,13990000,143000,,La Serena,4,2013,,,,AABR00,,,,,1
FORD,FOCUS,,11490000,69000,2.0,Las Condes,13,2019,gasolina,automatico,5,KXXG76,,,,,1
NISSAN,SENTRA,,14990000,31100,,Cerrillos,13,2022,,,,RXKZ33,,,,,1
SUBARU,FORESTER,,13690000,133000,,La Serena,4,2017,,,,BBBB02,,,,,1
CHEVROLET,SILVERADO,,32000000,76735,,Vitacura,13,2021,,,,RCBR51,"La Chevrolet Silverado 5.3 DCab 4x4 Aut. ofrece un equipamiento completo y moderno, destacando su potente motor V8, transmisión automática, tracción en las cuatro ruedas (4x4), asientos espaciosos para cinco pasajeros, sistema de infoentretenimiento con pantalla táctil, conectividad Bluetooth, cámara de reversa, control de estabilidad, frenos antibloqueo (ABS), control de tracción, múltiples airbags, llantas de aleación, asientos delanteros con calefacción, entre otros detalles que garantizan comodidad, seguridad y rendimiento.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. ",True,,,1
BMW,X3,,9990000,176000,,Las Condes,13,2011,,,,CWHD51,,,,,1
VOLKSWAGEN,AMAROK,,19790000,83300,,Cerrillos,13,2022,,,,RPDV31,,,,,1
M. BENZ,GLE,,27590000,104000,,La Serena,4,2016,,,,BBBB06,,,,,1
KIA,SPORTAGE,,16490000,42500,,La Serena,4,2019,,,,BBBB05,,,,,1
FORD,F150 RAPTOR,,29990000,129000,,Las Condes,13,2015,,,,HBYK44,,,,,1
FORD,F-150,,27000000,72000,,Vitacura,13,2019,,,,LHBS45,"La FORD F150 5.0 4X4 XLT AUT. cuenta con un potente motor V8 de 5.0 litros y transmisión automática, ofreciendo un rendimiento robusto. Su interior es amplio y cómodo, con asientos de tela, sistema de infoentretenimiento con pantalla táctil, conectividad Bluetooth y un sistema de audio de calidad. Además, incluye características de seguridad como cámara de reversa, control de tracción y múltiples airbags, asegurando una experiencia de conducción segura y confiable.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito",True,,,1
VOLVO,V60CC,"D4 2,4 LTS. STATION WAGON 5P. T/A 4X4 DIÉSEL",12980000,100800,2.4,Vitacura,13,2017,diesel,automatico,5,JLZC92,"Vehículo en impecable estado, full equipo, automático, versión V60 CROSS COUNTRY D4 AWD 2.4 AT, climatizador bizona, cuero, alzavidrios, sensor de retroceso cámara de retroceso, bluetooth, DIESEL, mantenciones al día. 

** Recibimos tu vehículo en parte de pago 
** Financiamiento Automotriz 
** Pago con Tarjeta de Crédito",,,,1
PEUGEOT,208,,13970000,50788,1.2,Las Condes,13,2021,gasolina,automatico,5,PSYR37,"Peugeot 208 1.2 Puretech Auto 130HP Allure Pack 2021

Información General:
- Única dueña.
- Todas las mantenciones al día en la marca, menos la última
- 50.788 kms.
- 2 llaves originales.
- Precio conversable.

Motor y rendimiento
- Motor: 1.2 litros PureTech turboalimentado, de 3 cilindros.
- Potencia: 130 caballos de fuerza.
- Transmisión: Caja de cambios automática de 8 velocidades.
- Tracción: Delantera (FWD).
- Consumo de combustible: 18-20 km/l en condiciones mixtas.

Diseño exterior:
- Espejos exteriores: Eléctricos

Interior y confort
- Capacidad: Espacio para 5 ocupantes.
- Climatización: Sistema de climatización automática bi-zona.
- KeyLess

Seguridad
- Asistencias al conductor: Frenado automático de emergencia, alerta de cambio involuntario de carril.
- Asistencia de estacionamiento con sensores traseros, y cámara de reversa.
- Airbags: Frontales, laterales y de cortina para todos los ocupantes.
- Control de estabilidad: Control de estabilidad electrónico) y control de trac",True,True,,1
KIA,RIO 5,,10490000,78000,,Las Condes,13,2018,,,,KFRH15,,,,,1
AUDI,A3,,13300000,90673,1.4,Las Condes,13,2018,gasolina,automatico,5,KHGH35,"Audi A3 1.4 TFSI Stronic Auto 2018

Información General
- Segundo dueño
- 90.673 Kms
- Mantenciones al día y en la marca
- 2 llaves originales

Motor y rendimiento
- Motor: 1.4 litros TFSI de 4 cilindros.
- Potencia: Genera150 caballos de fuerza.
- Transmisión: Caja de cambios automática S tronic de 7 velocidades.
- Tracción: Tracción delantera (FWD).
- Aceleración: De 0 a 100 km/h en aproximadamente 8.2 segundos.
- Consumo de combustible: Aproximadamente entre 18-20 km/l en condiciones mixtas.

Diseño exterior
- Ruedas: Llantas de aleación de 17 pulgadas.
- Espejos exteriores: Espejos eléctricos.

Interior y confort
- Capacidad: Para 5 ocupantes.
- Asientos: De cuero.
- Sistema de infoentretenimiento: Con conectividad Bluetooth, radio AM/FM, y control por voz.
- Climatización: Climatizador automático.

Seguridad
- Asistencias al conductor: Control de crucero, sistema de frenado automático, asistente de cambio de carril y alerta de salida de carril.
- Sensores de estacionamiento delant",,True,True,1
CHEVROLET,TRACKER,,8490000,57000,,Las Condes,13,2018,,,,KSPG23,,,,,1
SEAT,IBIZA,,15490000,20000,,Las Condes,13,2023,,,,SJDF16,,,,,1
AUDI,Q3,,13000000,170000,,Vitacura,13,2013,,,,FWVD31,"La Audi Q3 2.0 TFSI Quattro S-Line Automática destaca por su equipamiento de alta gama. Incluye tapicería de cuero, asientos deportivos, sistema de navegación MMI, Audi Drive Select, cámara de visión trasera, sensores de estacionamiento delanteros y traseros, llantas de aleación de diseño exclusivo, faros bixenón con luz diurna LED, techo panorámico, control de crucero, y acceso sin llave. Un vehículo que combina lujo, tecnología y rendimiento excepcional en un solo paquete.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",,,,1
FORD,MUSTANG,,17990000,105000,,La Serena,4,2012,,,,BBBB07,,,,,1
HONDA,PILOT,"TOURING 3,5 LTS. STATION WAGON 5P. T/A 4X4 OTTO",28990000,82000,3.5,Las Condes,13,2020,gasolina,automatico,5,PCYD47,"UNICO DUEÑO...!!!
10 AIRBAG
CRUCERO
SUNROOF
MANOS LIBRES
ECON
START STOP ENGINE
CLIMATIZADOR
CONTROL DE ESTABILIDAD
KEYLESS
CUERO
3 CORRIDAS
ASIENTOS ELECTRICOS
ASIENTOS CLIMATIZADOS
CARPLAY
PANTALLA TOUCH
ASISTENCIA EN PENDIENTE
CAMARA Y SENSOR DE RETROCESO
CONTROL DE CARRIL
ESPEJOS RETRACTILES
NEBLINEROS
RECIBO VEHICULO EN PARTE DE PAGO
CREDITOS AUTOMOTRIZ
TARJETAS DE CREDITO
SEGUROS AUTOMOTRIZ
TRAMITES NOTARIALES Y DIGITALES
WWW.AUTOMOTIVECONSULTING..CL

",True,True,,1
PORSCHE,MACAN,,37490000,60000,,Las Condes,13,2018,,,,KPDR16,,,,,1
MITSUBISHI,L-200,,13690000,71012,,Puerto Montt,10,2020,,,,PGLY77,"MITSUBISHI L200 KATANA CRM 4X4- AÑO:2020
✅Diésel
✅71.012 km
✅Caja de cambios sexta
✅Aire acondicionado
✅Único Dueño
✅Full equipo
✅Excelentes Condiciones
💰Financiamiento
✅Pie Mínimo desde: $5.500.000.-
✅Valor vehículos: $13.690.000

Llamar o WhatsApp ©️
📲 +56 9 4414 5044 Orlando.
📲 +569 4997 4067 Catalina.
📲 +56 9 28604342 Felipe.",,,,1
TOYOTA,HILUX,,10490000,217510,,Puerto Montt,10,2012,,,,DVPW77,"TOYOTA HILUX 4X4- AÑO:2012
✅Diésel
✅217.510 km
✅Caja de cambios sexta
✅Aire acondicionado
✅Único Dueño
✅Full equipo
✅Excelentes Condiciones

✅Valor vehículos: $10.490.000

Llamar o WhatsApp ©️
📲 +56 9 4414 5044 Orlando.
📲 +569 4997 4067 Catalina.
📲 +56 9 28604342 Felipe.

Requisitos para creditos:
🚫No tener Dicom
💸Renta mayor a $650.000
📌Edad minima de 24 años para postular.
📌Antiguedad laboral minima de 1 año.

🏣Visítanos
📍Av. Ejército 36 Puerto Montt.",,,,1
SSANGYONG,NEW REXTON,,15550000,119000,,Macul,13,2018,,,,RAAR03,"Station Wagon
Año 2018
Diesel
Mecánica
Cámara retroceso
sensor retroceso
Radio con Pantalla
3 Corridas Asiento
Mantenciones al día
119.xxx KMS
Full equipo",,,,1
AUDI,A3,"1,2 LTS. TFSI HATCHBACK 5P",750000,145000,1.2,Rancagua,6,2012,gasolina,automatico,3,XXXC01,"VEHICULO EN EXCELENTE ESTADO, 1.2 TURBO, CAJA SPORT AUTOMATICO, BT, MODELO FULL EQUIPO, AIRE ACONDICIONADO, CONTROL AL VOLANTE, 1.4 BENCINERO ECONOMICO.",,,,1
HYUNDAI,ACCENT,,10490000,23100,,Cerrillos,13,2022,,,,RZCY62,,,,,1
SUZUKI,BALENO,,11390000,88600,,Cerrillos,13,2021,,,,PHVZ24,,,,,1
OPEL,ASTRA,,12800000,76000,,Vitacura,13,2017,,,,JZTD96,"El Opel Astra 2.0 TURBO  GTC MEC ofrece un alto nivel de equipamiento que destaca por su estilo deportivo y funcionalidad. Incluye asientos deportivos, volante multifunción, sistema de infoentretenimiento con pantalla táctil, conectividad Bluetooth, control de crucero, climatizador automático, faros LED delanteros, llantas de aleación de diseño exclusivo, sistema de asistencia en pendientes, sensor de luces y lluvia, y opciones de personalización para satisfacer gustos exigentes. Una combinación de estilo y rendimiento extraordinaria.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",,,,1
NISSAN,NAVARA,(D23) DC 2.3 HO AT 4X4,37990000,11000,2.3,Concepción,8,2024,diesel,automatico,4,TFZL37,"CAMIONETA CON IVA, CONTACTAME +569-57656704, MI NOMBRE ES LUIS ARAVENA",True,,,1
SUZUKI,BALENO,,9700000,55151,,Vitacura,13,2021,,,,PPCW27,"La Suzuki Baleno 1.4 HB MEC está equipada con características que la hacen sobresalir en su segmento, como aire acondicionado, sistema de audio con pantalla táctil y conexión Bluetooth, control de crucero, volante multifunción, elevalunas eléctricos, cierre centralizado, faros delanteros halógenos, luces diurnas LED, frenos ABS, airbags frontales y laterales, asientos abatibles, sensores de estacionamiento y llantas de aleación. Una combinación de comodidad y seguridad para el día a día.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito",True,,,1
JEEP,COMPASS,,5990000,133000,,Las Condes,13,2010,,,,CLVY44,,,,,1
SUBARU,XV,,15900000,72250,,La Serena,4,2018,,,,BBBB21,,,,,1
MAZDA,MAZDA6,,16990000,35000,,Las Condes,13,2018,,,,JWWD96,"・ SENSORES DE ESTACIONAMIENTO

・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ CÁMARA TRASERA

・ CLIMATIZADOR BI ZONA

・ ESPEJOS RETROVISORES ELÉCTRICOS

・ ALZAVIDRIOS ELÉCTRICOS

・ SUNROOF ELÉCTRICO",,,,1
BMW,X1,,22900000,47600,,La Serena,4,2021,,,,BBBB18,,,,,1
NISSAN,NP300,,15450000,132000,,Macul,13,2020,,,,RAAR40,,,,,1
DODGE,RAM 1500,,36700000,110200,,La Serena,4,2017,,,,BBBB15,,,,,1
MAZDA,CX-5,,10990000,90000,,Las Condes,13,2015,,,,HHTB92,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ CÁMARA TRASERA

・ CLIMATIZADOR BI ZONA

・ ESPEJOS RETROVISORES ABATIBLES

・ ALZAVIDRIOS ELÉCTRICOS",,,,1
MAZDA,CX-5,,15390000,91500,,Vitacura,13,2018,,,,KGZT72,"La Mazda CX-5 2.0R 2WD 6AT ofrece un equipamiento de primera calidad que incluye asientos de cuero, sistema de infoentretenimiento con pantalla táctil, conectividad Bluetooth, cámara de retroceso, climatizador bizona, control de crucero, encendido sin llave, sensor de lluvia, frenos ABS, control de estabilidad, llantas de aleación, faros LED, múltiples airbags y sensores de estacionamiento. Todo diseñado para brindar confort y seguridad durante la conducción.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",True,,,1
VOLVO,S60,"D2 SEDÁN 2,0 LTS. 5P. T/A DIÉSEL",15600000,103000,2.0,Vitacura,13,2019,diesel,automatico,5,LBYV80,"¡Elegancia sueca al alcance de tu mano!
Descubre el lujo y la seguridad de un Volvo S60 Comfort D2 diesel, año 2019.
Este sedán europeo, con tan solo 103.000 km, combina a la perfección diseño escandinavo, tecnología de punta y un rendimiento excepcional.

Disfruta de:
Elegancia y confort: Interior sofisticado con acabados de alta calidad, asientos envolventes con lterales en cuero y un amplio espacio para que cada viaje sea una experiencia placentera.
Motor diesel eficiente: El motor D2 te ofrece una combinación ideal de potencia y economía de combustible, perfecto para la ciudad y carretera.
Tecnología de seguridad: Equipado con sistemas de seguridad activa y pasiva de última generación, como el sistema CIty Safety que permite un frenado de emergencia autónomo , para que viajes con total tranquilidad.
Confort de conducción: Suspensión suave y dirección precisa, garantizan una conducción suave y placentera.
Kilometraje moderado: Con solo 103.000 km",True,True,,1
